id;Edad;GENERO;NUMERO_HIJOS;PROFESION;SERVICIO;TIEMPO_PROPIETARIO;KILOMETRAJE_INSTALACION;EdadLicencia;RELACION_ASEGURADO;CILINDRAJE;CIUDAD;Min(Recorrido(Km));Min(Frenadas(Uni));Min(Arrancadas(Uni));Min(Aceleraciones(Uni));Min(ExcesoVelocidad(Min));Min(MaximaVelocidad(Km/h));Min(TiempoUso(Min));Min(UsoZona(Min));Min(FueraZona(Min));Min(Colision);Max(Recorrido(Km));Max(Frenadas(Uni));Max(Arrancadas(Uni));Max(Aceleraciones(Uni));Max(ExcesoVelocidad(Min));Max(MaximaVelocidad(Km/h));Max(TiempoUso(Min));Max(UsoZona(Min));Max(FueraZona(Min));Max(Colision);Mean(Recorrido(Km));Mean(Frenadas(Uni));Mean(Arrancadas(Uni));Mean(Aceleraciones(Uni));Mean(ExcesoVelocidad(Min));Mean(MaximaVelocidad(Km/h));Mean(TiempoUso(Min));Mean(UsoZona(Min));Mean(FueraZona(Min));Mean(Colision);MARCA;CLASE;TIPO;MODELO;SINIESTROS_2016;SINIESTROS_2017;SINIESTROS_2018
6677118;61.13;Masculino;3;Economista;Particular;2;14.305;1.79;Asegurado;1800;BOGOTA;1;0;0;0;0;0;5;0;0;0;61;2;0;19;54;116.55;60;59;60;0;7.03;0.02;0;1.97;1.14;4.27;20.55;17.71;2.85;0;CHEVROLET;AUTOMOVIL;AVEO;2008;1;0;0
11581730;57.75;Masculino;0;Contador Publico;Particular;1;14.5;14.6;Asegurado;1400;BOGOTA;0;0;0;0;0;0;0;0;0;0;40;3;2;7;15;90.65;60;60;60;1;6.18;0.01;0;0.97;0.03;0.17;20.64;18.39;2.25;0;RENAULT;AUTOMOVIL;LOGAN;2007;0;0;0
87364196;51.28;Masculino;0;Servicios de Informatica;Particular;1;14.656;3.1;Asegurado;1400;BOGOTA;1;0;0;0;0;0;4;4;0;0;22;1;0;10;2;101.75;53;53;2;0;3.7;0;0;1.21;0.01;1.02;15.54;15.52;0.01;0;CHEVROLET;AUTOMOVIL;AVEO;2007;0;0;0
91111363;36.87;Masculino;1;Servicios de Informatica;Particular;1;14.664;2.25;Asegurado;1800;BOGOTA;1;0;0;0;0;0;2;0;0;0;62;3;0;0;11;129.5;60;47;60;0;8.58;0.16;0;0;0.14;8.45;18.11;13.32;4.78;0;CHEVROLET;AUTOMOVIL;AVEO;2008;0;0;0
16764717;51.78;Femenino;0;Decorador-Disenhador y Dibujante;Particular;2;15.014;2.76;Asegurado;5400;BOGOTA;0;0;0;0;0;0;0;0;0;0;40;35;1;13;1;98.05;60;0;60;1;5.35;0.54;0.01;1.63;0.01;0.51;20.72;0;20.72;0;DAIHATSU;CAMPERO;TERIOS;2007;0;1;0
95913026;44.51;Masculino;2;Consultor-Negocios;Particular;1;15.128;23.52;Asegurado;1800;BOGOTA;1;0;0;0;0;0;5;0;0;0;47;29;0;3;8;114.7;60;58;60;0;11.19;3.52;0;0.05;0.23;9.39;26.88;8.64;18.23;0;CHEVROLET;CAMPERO;GRAND VITARA;2008;0;0;0
49426456;60.7;Femenino;3;Profesor;Particular;10;15.2;15.45;Asegurado;1400;BOGOTA;0;0;0;0;0;0;0;0;0;0;77;2;0;25;35;123.95;60;60;60;2;8.03;0.05;0;1.81;0.63;6.58;21.22;14.35;6.87;0.01;CHEVROLET;AUTOMOVIL;OPTRA;2008;0;0;0
99946637;43.88;Masculino;0;Medico;Particular;1;15.375;25.7;Asegurado;2500;BOGOTA;1;0;0;0;0;0;5;0;0;0;51;1;0;8;0;0;60;60;50;1;6.56;0.07;0;1.12;0;0;22.4;21.21;1.19;0.01;HYUNDAI;AUTOMOVIL;ATOS [2];2009;0;0;0
35410645;28.74;Masculino;0;Economista;Particular;3;15.454;10.76;Asegurado;2500;BOGOTA;1;0;0;0;0;0;3;0;0;0;27;3;1;2;2;116.55;51;51;28;0;7.11;0.23;0.01;0.28;0.08;6.68;18.68;15.32;3.35;0;RENAULT;AUTOMOVIL;TWINGO;2007;0;0;0
55324231;29.45;Femenino;1;Medico;Particular;2;15.462;4.53;Asegurado;1400;BOGOTA;1;0;0;0;0;0;5;0;0;0;27;5;5;4;1;127.65;51;41;41;0;6.75;0.37;1.32;0.23;0.02;2.24;19.65;15.46;4.19;0;CHEVROLET;AUTOMOVIL;AVEO;2007;0;0;0
40163611;69.36;Masculino;4;Constructor;Particular;1;15.699;31.32;Asegurado;2000;BOGOTA;1;0;0;0;0;0;3;0;0;0;75;6;1;20;57;123.95;60;60;60;0;11.6;0.18;0.03;2.61;2.58;9.78;29.05;23.35;5.7;0;TOYOTA;AUTOMOVIL;COROLLA [10];2007;0;0;0
44827445;34.41;Femenino;0;Medico;Particular;1;15.803;2.62;Asegurado;2500;BOGOTA;1;0;0;0;0;0;5;0;0;0;41;2;0;0;0;0;59;38;59;0;10;0.31;0;0;0;0;25.62;15.69;9.92;0;RENAULT;AUTOMOVIL;TWINGO;2008;0;0;0
55527824;46.67;Femenino;1;Medico;Particular;1;16;26.25;Asegurado;1300;BOGOTA;0;0;0;0;0;0;0;0;0;0;33;2;6;10;0;0;60;55;60;1;7.77;0.01;0.02;0.92;0;0;25.26;9.9;15.36;0;MAZDA;AUTOMOVIL;ALLEGRO;2007;0;0;0
35947435;42.51;Masculino;0;Consultor-Negocios;Particular;0;16;7.83;Asegurado;1600;BOGOTA;0;0;0;0;0;0;0;0;0;0;80;14;1;8;18;129.5;60;53;60;1;13.5;0.38;0;0.14;1.4;37.8;25.71;2.22;23.49;0.01;MAZDA;AUTOMOVIL;3;2009;0;1;0
19169636;49.88;Masculino;2;Abogado;Particular;1;16.548;4.78;Asegurado;1600;BOGOTA;1;0;0;0;0;0;4;4;0;0;6;2;0;0;0;0;22;22;0;0;1.64;0.18;0;0;0;0;9.09;9.09;0;0;MAZDA;AUTOMOVIL;3;2006;0;0;0
29635857;39.81;Femenino;0;Ingeniero;Particular;1;16.623;1.67;Asegurado;1800;BOGOTA;1;0;0;0;0;0;7;0;0;0;34;2;4;2;0;0;59;47;59;1;9.44;0.07;0.54;0.04;0;0;24.7;17.17;7.54;0.02;CHEVROLET;AUTOMOVIL;OPTRA;2009;0;0;0
5234366;30.04;Masculino;0;Ingeniero;Particular;1;16.774;0.72;Asegurado;2500;BOGOTA;1;0;0;0;0;0;3;0;0;0;41;4;1;30;6;120.25;60;59;59;0;7.18;0.18;0.01;2.87;0.04;2.82;24.5;22.53;1.97;0;RENAULT;AUTOMOVIL;TWINGO;2010;0;0;0
88867811;68.26;Masculino;3;Electricista;Particular;9;17.024;3.07;Asegurado;1800;BOGOTA;1;0;0;0;0;0;7;0;0;0;39;6;0;7;4;112.85;59;52;38;0;11.33;1.05;0;0.33;0.43;19.93;25.38;16.78;8.6;0;CHEVROLET;AUTOMOVIL;SPRINT;1999;0;0;0
19783780;30.34;Masculino;0;Profesor;Particular;1;17.527;2.21;Hijo;1000;BOGOTA;1;0;0;0;0;0;3;0;0;0;63;148;11;4;54;111;60;39;60;0;14.35;16.38;2.03;0.46;3.77;17.43;26.78;9.8;16.99;0;CHEVROLET;AUTOMOVIL;ALTO;2001;0;1;0
50242325;59.95;Masculino;3;Profesor;Particular;1;17.975;23.52;Padre;2500;BOGOTA;0;0;0;0;0;0;0;0;0;0;82;6;12;12;31;125.8;60;60;60;1;11.54;0.15;1.04;0.34;0.31;14.31;27.78;22.91;4.87;0.01;MAZDA;CAMIONETA PASAJ.;5;2007;0;0;0
24449034;64.85;Masculino;1;Abogado;Particular;2;18.063;2.73;Asegurado;1400;BOGOTA;1;0;0;0;0;0;3;0;0;0;90;7;0;0;33;129.5;60;53;59;1;8.54;0.16;0;0;0.18;6.1;22.18;14.1;8.08;0;RENAULT;AUTOMOVIL;LOGAN;2007;0;0;0
73893933;37.42;Masculino;0;Contador Publico;Particular;1;18.267;22.4;Asegurado;2500;BOGOTA;0;0;0;0;0;0;0;0;0;0;44;2;0;11;11;120.25;60;0;60;3;6.12;0.06;0;2.14;0.23;7.72;21.28;0;21.28;0.02;RENAULT;AUTOMOVIL;CLIO II;2005;0;0;0
5534853;49.29;Femenino;2;Odontologo;Particular;1;18.529;26.34;Asegurado;2000;BOGOTA;0;0;0;0;0;0;0;0;0;0;41;2;0;1;18;118.4;59;55;59;1;11.91;0.45;0;0.05;1.55;24.3;30.14;17.77;12.36;0.05;CHEVROLET;AUTOMOVIL;VIVANT;2007;0;0;0
95641894;51.81;Masculino;2;Economista;Particular;1;19.224;37.25;Asegurado;2500;BOGOTA;1;0;0;0;0;0;1;0;0;0;72;3;1;41;24;129.5;57;57;49;0;9.08;0.02;0.01;3.26;0.46;25.19;18.18;15.86;2.32;0;NISSAN;CAMPERO;X TRAIL;2007;0;1;0
55394151;45.51;Femenino;2;Consultor-Negocios;Particular;1;19.749;3;Asegurado;2500;BOGOTA;0;0;0;0;0;0;0;0;0;0;50;2;1;15;44;107.3;60;60;52;1;5.99;0.04;0;1.85;0.36;1.86;21.23;20.05;1.17;0;MAZDA;AUTOMOVIL;ALLEGRO;2008;1;0;0
76040114;78.24;Femenino;0;Consultor-Negocios;Particular;2;20.099;2.82;Asegurado;1400;BOGOTA;1;0;0;0;0;0;2;0;0;0;83;18;15;53;26;129.5;60;60;59;1;8.1;0.77;1.5;1.07;0.21;8.46;22.28;16.82;5.46;0;CHEVROLET;AUTOMOVIL;AVEO;2006;1;0;0
93776557;30.91;Masculino;0;Ingeniero;Particular;2;20.148;2;Asegurado;1800;BOGOTA;1;0;0;0;0;0;3;0;0;0;31;2;0;18;29;90.65;60;51;60;0;3.95;0.04;0;1.99;0.16;0.75;17.83;15.23;2.6;0;CHEVROLET;AUTOMOVIL;AVEO;2008;0;1;0
21391809;50.44;Femenino;0;Psicologo;Particular;2;20.163;20.3;Asegurado;2500;BOGOTA;1;0;0;0;0;0;4;0;4;0;28;0;0;7;0;0;60;0;60;0;6.48;0;0;1.14;0;0;22.87;0;22.87;0;CHEVROLET;AUTOMOVIL;CORSA;2006;0;0;0
26327722;26.21;Femenino;0;Economista;Particular;1;20.26;6.36;Asegurado;1400;BOGOTA;0;0;0;0;0;0;0;0;0;0;38;4;2;0;12;118.4;60;2;60;1;8.83;0.04;0.01;0;0.2;9.66;23.78;0;23.78;0.01;RENAULT;AUTOMOVIL;TWINGO;2003;0;1;0
